instance_id,título,text
TPWFBP,Miguel Tij,"Miguel Tij II o Miguel Asen II[nota 1]​ (en búlgaro: Mихаип Тих II, Mihail Tih II), gobernó como emperador (zar) de Bulgaria de 1277 a 1279. Miguel Tij fue el único hijo conocido de Constantino Tij de Bulgaria y María Paleóloga Cantacucena, sobrina del emperador Miguel VIII Paleólogo del Imperio bizantino. Nació en 1270 y fue declarado porfirogéneta (tal vez para anular a las pretensiones al trono de los hijos mayores de Constantino), y fue coronado coemperador por sus padres como tarde en 1272. Cuando su padre Constantino I murió combatiendo al rebelde Ivailo en 1277, Miguel Tij quedó como legítimo emperador de Bulgaria, pero gobernó guiado por su madre María Cantacucena; su poder se fue reduciendo hasta quedar limitado pronto a la capital, Tarnovo. Aunque gran parte de las provincias cayeron en manos de Ivailo, su tío abuelo Miguel VIII respaldó a su propio pretendiente al trono, Iván Asen III, hijo de Mitso Asen de Bulgaria y María de Bulgaria. Como los ejércitos bizantinos marchaban hacia el norte con la intención de colocar a Iván Asen III en el trono, María Cantacucena llegó a un acuerdo con Ivailo, por el cual se casó con el asesino de su marido y lo asoció al trono junto a su hijo. Ivailo resistió las invasiones bizantinas hasta que fue cercado por la Horda de Oro de Nogai Kan en Drăstar (Silistra) durante tres meses en 1279. Creyéndolo muerto, los nobles de la capital abrieron las puertas de Tarnovo al ejército asediador bizantino y aceptaron a Iván Asen III como emperador. Junto con su madre, Miguel Tij fue enviado en cautividad al Imperio bizantino. Solo reaparece en las páginas de la historia alrededor de 1302, cuando una fracción de la nobleza búlgara lo invitó a arrebatar el trono a Teodoro Svetoslav. Aunque contó con apoyo militar bizantino, fue incapaz de sostenerse en Bulgaria. Se desconoce la fecha de su fallecimiento.  "
AYFQCC,Dominique Baudis,"Dominique Baudis (París, 14 de abril de 1947 - ibídem, 10 de abril de 2014)[1]​ fue un periodista, escritor y político francés. Fue conocido por ser alcalde de Toulouse de 1983 a 2001. Luego le eligieron Presidente del Consejo Superior del Audiovisual de Francia, de 2001 a 2007. Era Presidente del Instituto del Mundo Árabe (desde febrero de 2007) y diputado europeo francés (desde julio de 2009), formó parte del Partido Popular Europeo. De tendencia demócrata cristiana, era miembro de la Unión por un Movimiento Popular. En 1971, se va a Líbano para trabajar de periodista de radio y de televisión en Beirut hasta el comienzo de la guerra civil libanesa en 1973. A continuación se hace corresponsal del entonces canal público francés TF1 en Oriente Próximo. Vuelve a Francia en el año 1978, y empieza a presentar las Telenoticias de ese mismo canal. De 1980 a 1982, será el presentador de la cadena FR3. En 1983 decide presentarse a las elecciones municipales de la ciudad de Toulouse, capital de la región Midi-Pyrénées. Gana las elecciones y se quedará en el puesto de Alcalde de Toulouse hasta 2001. Sucede a su padre, Pierre Baudis, que había ganado la Alcaldía en 1971. Alcalde de tendencia demócrata cristiana, es conocido por su gestión la ciudad: inversiones públicas, grandes obras, llegada de empresas multinacionales, y una deuda “cero” (el presupuesto municipal ha sido siempre positivo). Fue precursor al desarrollar unas relaciones privilegiadas con ciudades españolas (creación de la C6). Sus distintos mandatos políticos han sido: diputado a la Asamblea Nacional de Francia en 1986, 1988, 1993 y 1997, primer Presidente electo de la Región Midi-Pyrénées de 1986 a 1988, diputado europeo francés en 1984, 1994 y 2009. En 2001, decide abandonar todos sus cargos políticos para dedicarse a la nueva misión que le confió el Presidente Jacques Chirac. Dedicó su mandato a dos misiones de igual importancia: en primer lugar implementó la Televisión Digital Terrestre, (llamada Televisión Numérica Terrestre en Francia), y en segundo lugar luchó contra la proliferación de la pornografía en la TV por la protección de los menores de edad. En febrero de 2007, después de haber cumplido con reconocimiento su misión en le CSA francés, entra como Presidente al Instituto del Mundo Árabe con sede París. Sus dos misiones fundamentales han sido restablecer las finanzas de la Institución y participar en el diálogo intercultural entre Oriente y Occidente. En enero de 2009 fue nombrado para encabezar la lista de la UMP para la circunscripción del Sur-Oeste de Francia. El 7 de junio de 2009, las listas de la Mayoría Presidencial (UMP y los partidos socios del Presidente Nicolas Sarkozy) en Francia han alcanzado las elecciones europeas. En el Sur-Oeste, obtuvieron un 26,89% de los votos. Así superan el Partido Socialista en Regiones enraizadas en la izquierda. En Toulouse y su aglomeración Dominique Baudis pasó la barra simbólica del 30%. Apasionado e involucrado por sus funciones en el tema de la Unión por el Mediterráneo, fue elegido vicepresidente de la Comisión de Asuntos Exteriores del Parlamento Europeo (Comisión AFET) el 16 de julio de 2009, dos días después de tomar sus funciones de Eurodiputado. Desde el 10 de noviembre de 2009 era ""rapporteur"" del Acuerdo de Asociación con Siria. Dominique Baudis, ""El Defensor del Pueblo"" llamado así por el Expresidente Nicolás Sarkozy en 2011, falleció en París el 10 de abril de 2014, a los 66 años. "
EPLET5,Nelsan Ellis,"Nelsan Ellis (Harvey, Illinois; 30 de noviembre de 1977-Brooklyn, New York, Estados Unidos; 8 de julio de 2017)[1]​ fue un actor de cine y televisión y dramaturgo estadounidense, conocido por su papel como Lafayette Reynolds en la serie de HBO True Blood, y más recientemente por su papel como Bobby Byrd en la película biográfica de James Brown, Get on Up, ganadora de varios premios de la televisión. Nació en Harvey, Illinois. A raíz del divorcio de sus padres, Ellis y su madre se trasladaron a Bessemer, Alabama, donde estudió en la escuela de Jess Lanier durante un año, y luego se trasladó a la Escuela Secundaria McAdory. Se mudó de nuevo a Illinois a los 15 años, y se graduó en el Instituto Thornridge,  Illinois, en 1997. Ellis se graduó en Juilliard. Murió el 8 de julio de 2017, debido a una insuficiencia cardíaca.[2]​ "
IP4E7Z,Aceraius kikutai,Aceraius kikutai es una especie de coleóptero de la familia Passalidae. Habita en la isla de Borneo (Malasia).[1]​ 
B6U4GJ,Las Plantas Mexicanas del Genero Yucca,Las Plantas Mexicanas del Género Yucca (abreviado Pl. Mex. Genero Yucca)[1]​ es un libro con ilustraciones y descripciones botánicas que fue escrito conjuntamente por los botánicos Eizi Matuda & Ignacio Piña-Luján y publicado en México en el año 1980.  
CJ3S63,Macroclinidium,Ver texto. Macroclinidium es un género de plantas con flores perteneciente a la familia de las asteráceas.  Comprende 7 especies.[1]​[2]​ El género fue descrito por Carl Johann Maximowicz y publicado en Bulletin de l'Academie Imperiale des Sciences de St-Petersbourg 15: 375. 1871.[3]​ La especie tipo es:  Macroclinidium robustum 
WSI5PA,Las vacaciones del Señor Rossi,"Las vacaciones del Señor Rossi (Le vacanze del signor Rossi) es una película de animación de 1978 producida y dirigida por Bruno Bozzetto. En Italia la película fue estrenada en 1978; en España, en 1983. Es la última película del Señor Rossi.  "
11CDZ0,Cheyenne Wells (Colorado),"Cheyenne Wells es un pueblo ubicado en el condado de Cheyenne en el estado estadounidense de Colorado. En el año 2010 tenía una población de 846 habitantes y una densidad poblacional de 313,3 personas por km².[2]​ Cheyenne Wells se encuentra ubicada en las coordenadas 38°49′16″N 102°21′13″O﻿ / ﻿38.82111, -102.35361.[3]​ Según la Oficina del Censo en 2000 los ingresos medios por hogar en la localidad eran de $36 563, y los ingresos medios por familia eran $45 132. Los hombres tenían unos ingresos medios de $32 941 frente a los $23 077 para las mujeres. La renta per cápita para la localidad era de $18 840. Alrededor del 11.1% de la población estaba por debajo del umbral de pobreza.[4]​ "
K3Y7K7,Anexo:Torneo de Memphis 1987 (dobles masculino),  Anders Järryd /  Jonas Svensson vence a Sergio Casal /  Emilio Sánchez por  6-4 y 6-2   «Cuadro del torneo». ATP. Consultado el 12 de agosto de 2022. 
M862R7,Sogliano al Rubicone,"Sogliano al Rubicone es un municipio situado en el territorio de la provincia de Forlì-Cesena, en Emilia-Romaña, (Italia). Fuente ISTAT - elaboración gráfica de Wikipedia  "
M76GJS,Anguilla japonica,"Anguilla japonica es una especie de pez del género Anguilla, familia Anguillidae. Fue descrita científicamente por Temminck & Schlegel en 1846.[1]​ Se distribuye por Asia: Japón hasta el mar de China Oriental, Taiwán, Corea, China y el norte de Filipinas.[1]​ La longitud total (TL) es de 150 centímetros con un peso máximo de 1,9 kilogramos.[1]​ Habita en ríos y aguas dulces y se alimenta de crustáceos, insectos y peces.[1]​ Está clasificada como una especie marina inofensiva para el ser humano.[1]​ Ampliamente comercializado, se puede consumir al vapor, a la parrilla y al horno y posee propiedades medicinales.[1]​ "
DX1MD9,Neftepromysel,"Neftepromysel (del ruso: Нефтепромысел) es un posiólok del raión de Krymsk del krai de Krasnodar, en Rusia. Está situado en la orilla izquierda del río Psif, cerca de su desembocadura en el río Adagum, afluente por la izquierda del río Kubán, en las inmediaciones de su delta, 22 km al noroeste de Krymsk y 93 km al oeste de Krasnodar. Tenía 38 habitantes en 2010[1]​ Pertenece al municipio Keslerovskoye. "
